latitude,longitude,count
38.646981,-90.63155,67
38.42727,-90.38515,44
38.601403,-90.55209,169
38.337458,-90.42316,2
38.352825,-90.63595,10
38.647023,-90.53918,835
38.226997,-90.38215,54
38.120303,-90.55426,12
38.576253,-90.53117,232
38.494203,-90.61304,31
38.502854,-90.46088,142
38.187767,-90.4077,277
38.8016,-90.33662,89
38.79505,-90.28578,211
38.832863,-90.29051,2
38.412764,-91.3246,4
38.578703,-90.66508,1
38.575835,-90.61878,15
38.7785,-90.37005,85
38.725331,-90.44451,16
38.757318,-90.42335,404
38.261863,-90.3902,6
38.473921,-90.52696,5
38.259946,-90.5666,23
38.405287,-90.57059,2
38.385265,-90.40339,3
38.535934,-90.84698,5
38.558836,-91.24469,9
38.482353,-90.73892,10
38.279016,-90.40862,2
38.727184,-90.38551,5
38.336093,-90.98902,6
38.200244,-91.14089,82
38.434806,-91.00353,61
38.553253,-90.49157,6
38.535499,-91.02348,356
38.631551,-90.193,5
38.631451,-90.21415,43
38.610701,-90.21362,115
38.645484,-90.32888,98
38.644451,-90.20636,36
38.646201,-90.25435,117
38.586052,-90.2941,89
38.622601,-90.26182,5252
38.559302,-90.25174,32
38.661351,-90.28434,54
38.656701,-90.24397,11
38.702651,-90.36109,22
38.580552,-90.26307,11
38.628402,-90.32636,425
38.594901,-90.2278,100
38.590652,-90.35168,132
38.706301,-90.29609,34
38.582702,-90.40966,435
38.549452,-90.32525,72
38.645802,-90.37687,56
38.524066,-90.2895,47
38.552303,-90.37921,71
38.53987,-90.40024,395
38.500734,-90.37113,1150
38.469953,-90.32161,30
38.663951,-90.32348,14
38.618582,-90.43643,879
38.675784,-90.37463,55
38.738217,-90.33904,31
38.74785,-90.30258,3
38.73835,-90.26154,226
38.787849,-90.21041,8
38.610901,-90.29174,42
38.662302,-90.45363,1371
38.612452,-90.31822,13
38.619152,-90.34964,35
38.688585,-90.44689,29
38.692861,-90.21905,1
38.808583,-90.50687,151
38.762715,-90.53903,288
38.72926,-90.65332,40
39.318552,-91.18265,7
39.354092,-90.93137,1
39.449012,-91.07518,16
38.647611,-91.09159,8
38.973583,-91.53556,4
38.952724,-90.89199,3
38.786335,-90.72121,84
38.796601,-90.78525,134
38.778579,-90.62045,321
38.991916,-90.98649,119
39.310099,-91.48862,3
38.818852,-91.17,60
38.808884,-90.85922,54
39.00006,-90.77209,4
38.797388,-91.03468,4
39.695798,-91.40084,176
40.178309,-91.57389,2
39.501697,-91.5367,2
39.742551,-92.24825,3
40.415683,-91.71817,5
40.101973,-91.79502,8
39.645523,-91.72967,3
39.98354,-91.99255,2
39.793879,-91.54631,37
40.183335,-92.58341,136
39.75496,-92.57057,1
40.164349,-92.1671,2
40.256611,-92.98277,1
39.747736,-92.46878,37
40.469438,-92.18031,12
40.184189,-93.12043,10
40.472841,-92.97298,10
37.844197,-90.53,23
37.383001,-90.6596,4
37.538148,-90.96827,8
38.051824,-90.25527,10
37.929597,-90.5614,2
37.210461,-91.00798,24
37.779206,-90.41404,207
37.54834,-90.30599,18
37.614822,-90.63284,1
37.624572,-90.64526,4
37.91496,-90.86797,39
37.91259,-90.15155,35
37.32564,-89.5659,216
37.291432,-89.54065,529
37.182556,-89.68379,1
37.413716,-89.65428,33
37.309447,-89.98127,1
37.716811,-89.87601,69
37.21183,-89.52687,1
36.891163,-89.58355,82
36.174029,-89.67548,7
36.784453,-89.97428,26
36.74432,-89.36142,5
36.235881,-89.74861,14
36.237128,-90.04866,59
36.569283,-89.97423,4
36.59793,-89.54435,12
36.436042,-89.68851,3
36.079378,-89.84896,2
36.759357,-90.41689,229
36.624115,-90.8615,34
37.068349,-90.42152,4
36.585908,-90.61875,4
37.151397,-90.69685,12
36.956662,-90.13128,1
36.985902,-90.99852,4
38.980527,-94.07705,4
38.810856,-94.53201,134
39.017559,-94.25767,141
39.016612,-94.2987,60
38.97688,-93.5895,6
39.340332,-94.22601,33
39.012404,-94.21156,5
38.883548,-94.52503,43
39.058604,-93.73366,6
38.712465,-93.9882,7
39.09888,-94.41447,7
39.076405,-94.44943,8
39.108704,-94.44115,1
39.053255,-94.4061,259
39.115776,-94.34846,10
39.069165,-94.35087,215
39.365318,-94.3578,8
39.443609,-94.17063,3
38.913857,-94.36397,202
38.98861,-94.36474,111
39.176165,-93.86963,30
39.246179,-94.41763,271
38.99535,-94.14225,2
38.98915,-93.95373,9
38.706077,-94.46049,1
39.356596,-94.78814,21
38.776782,-94.26207,12
38.908657,-94.40285,61
38.850243,-94.3957,14
38.803528,-94.45103,56
39.311978,-93.96947,11
38.92811,-94.32392,229
39.389339,-94.56774,17
38.772117,-93.73519,263
39.214193,-93.53825,3
39.445387,-94.89833,2
39.104204,-94.58868,7
39.103704,-94.57311,3
39.084554,-94.58296,413
39.065954,-94.56643,1
39.033505,-94.57286,11
39.056505,-94.59439,1600
39.037605,-94.59537,62
39.013638,-94.59471,14
38.966056,-94.59641,457
39.14912,-94.57314,552
39.165253,-94.53158,1
39.213082,-94.57248,204
39.202654,-94.51816,103
39.125304,-94.53234,7
39.107304,-94.53985,14
39.092304,-94.49948,1
39.066754,-94.5365,6
39.034838,-94.54507,39
38.972473,-94.57656,162
38.991406,-94.551,558
39.013905,-94.4591,119
38.928206,-94.49832,2
39.01543,-94.39967,1
38.929356,-94.53932,22
38.969806,-94.47256,6
38.959277,-94.40868,147
38.896407,-94.59666,23
39.174903,-94.62241,9
39.215652,-94.63021,150
39.216635,-94.69991,21
39.281602,-94.71439,61
39.261679,-94.63353,248
39.276828,-94.57344,160
39.283535,-94.4705,5
39.230259,-94.47794,110
40.247423,-94.33216,9
40.266201,-94.0304,11
39.743859,-94.23378,62
40.321432,-95.41748,9
39.61222,-94.5929,8
40.496954,-94.38993,2
40.521372,-94.8073,1
40.057066,-94.49898,2
39.535467,-94.30633,2
40.341716,-94.87498,56
39.91125,-94.35231,2
40.148933,-95.23256,1
39.986725,-95.09514,3
40.447373,-94.84243,2
39.571712,-94.4603,2
40.437038,-95.53297,3
39.94728,-94.8358,8
40.452497,-95.3661,2
39.766144,-94.84504,12
39.741794,-94.83237,1
39.707694,-94.87354,1
39.812344,-94.84286,1
39.787394,-94.80941,613
39.748827,-94.80299,54
39.790132,-93.54803,45
39.581772,-93.79569,1
39.792042,-93.04973,24
40.448528,-93.77349,2
39.355424,-93.48123,22
39.912973,-93.96536,5
39.731689,-93.99009,1
39.977935,-93.80694,3
39.668998,-92.92916,2
40.391564,-93.58237,4
40.07823,-93.61143,90
38.641509,-94.34126,151
38.171591,-94.02233,14
38.493639,-94.35764,1
38.259528,-94.32317,30
38.364214,-93.76042,205
37.853003,-94.00271,14
37.507321,-94.2761,55
37.838563,-94.35075,78
38.039239,-93.67676,3
37.09416,-94.50169,50
37.047161,-94.51124,1169
36.658583,-94.44972,10
37.149458,-94.44019,1
37.168985,-94.31164,62
37.002574,-94.32419,1
36.734769,-94.42691,4
36.86429,-94.39016,30
36.571849,-94.28956,7
37.086771,-94.12545,1
36.530266,-94.60271,6
36.833365,-94.59415,1
37.155108,-94.47465,7
38.784123,-92.24395,13
38.624862,-92.56443,13
38.032648,-92.78269,22
38.311355,-92.58395,12
38.232201,-92.82494,15
38.659798,-91.47293,35
38.632055,-92.11831,6
38.192972,-92.67262,12
38.477953,-91.81695,15
38.130807,-92.66935,123
38.33895,-91.49522,14
38.156071,-92.75899,2
38.642614,-92.79811,1
38.428609,-92.84968,25
38.417602,-92.02791,4
38.535897,-92.13905,136
38.530921,-92.249342,1
38.568287,-92.25329,475
38.926838,-92.29003,978
39.00234,-92.30033,30
38.925204,-92.36887,280
38.903318,-92.102153,5
38.937608,-92.33043,1677
38.935305,-92.73932,19
39.212252,-92.13684,14
39.148876,-92.67027,6
38.852436,-91.95808,39
39.104503,-92.23452,1
39.179316,-91.88404,72
39.420353,-92.4344,105
39.463743,-92.00144,1
38.849336,-92.93735,1
39.461414,-92.80488,5
39.208685,-92.29136,1
38.702964,-93.23231,132
38.151604,-92.99055,1
38.451021,-93.19156,3
38.76699,-93.56712,1
38.34463,-93.26634,2
39.10518,-93.18783,107
39.310853,-93.22589,2
39.221658,-93.06252,1
38.982222,-93.40798,17
38.242861,-93.36354,12
38.525725,-93.51705,5
37.94384,-91.77105,261
38.126316,-91.20688,9
38.092097,-91.4163,9
37.165828,-91.36574,4
37.737264,-92.12685,2
37.316088,-91.95471,34
37.678528,-92.64733,29
37.489718,-91.87351,1
36.996408,-91.71697,20
37.828549,-92.40512,7
38.011872,-91.61179,4
37.630896,-91.51423,18
37.919808,-91.25495,1
37.716972,-91.13438,4
38.175146,-91.94655,2
37.820367,-92.19165,8
37.827415,-92.135741,7
36.918018,-93.71063,20
36.921199,-92.66205,21
37.616822,-93.40072,136
36.64417,-93.25668,964
37.134829,-93.38497,2
37.630577,-93.10129,7
36.681589,-93.85105,119
37.494752,-92.83345,1
36.901929,-93.53989,1
37.145969,-92.94888,6
36.706492,-93.11171,9
37.439717,-93.83934,7
37.302013,-92.50741,2
37.913567,-93.30305,1
36.600309,-93.23552,7
37.793322,-93.59877,1
36.63101,-93.43392,4
37.132577,-92.09857,3
37.128682,-92.5821,8
37.330958,-92.90929,26
36.91816,-93.91488,37
37.176376,-92.27609,8
37.101742,-93.80738,8
37.045593,-93.30563,33
37.021086,-93.21541,257
36.956471,-94.02134,7
36.693007,-93.37153,21
37.124302,-93.47407,7
36.587559,-93.58793,6
36.489216,-92.69301,4
37.844753,-93.17456,1
36.719145,-91.87408,148
37.340995,-93.4179,6
37.703022,-93.80653,2
36.543362,-91.52391,1
36.996755,-91.95796,7
37.212639,-93.31817,75
37.257053,-93.29015,91
37.161299,-93.2519,313
37.206624,-93.29923,37
37.168435,-93.31297,2447
37.120301,-93.31461,14
39.105854,-94.61329,1
